student_id,full_name,gender,math_score,english_score,science_score,attendance_rate,term,district
9510-796,Elizabeth Jones,Female,98.0,56.0,52.0,68.51,2023_T1,New York District
2975-980,James Davis,Female,13.0,99.0,75.0,86.13,2024_T1,New York District
2160-334,John Wilson,Female,8.0,98.0,76.0,69.31,2023_T1,New York District
6133-476,Mary Johnson,Female,96.0,5.0,90.0,95.95,2023_T1,New York District
3340-170,Michael Williams,Male,90.0,97.0,45.0,82.42,2024_T1,New York District
6753-839,John Wilson,Male,99.0,71.0,61.0,78.41,2024_T1,New York District
8248-980,John Miller,Male,29.0,77.0,83.0,75.22,2023_T1,New York District
3017-703,Mary Williams,Female,39.0,87.0,13.0,60.72,2023_T2,New York District
3290-353,Michael Davis,Female,86.0,21.0,47.0,96.72,2024_T1,New York District
5668-897,Mary Jones,Male,50.0,2.0,41.0,88.31,2024_T1,New York District
9482-721,Robert Jones,Male,27.0,83.0,44.0,87.97,2024_T1,New York District
1894-902,Michael Brown,Male,62.0,72.0,18.0,98.51,2023_T2,New York District
4949-611,Michael Johnson,Male,13.0,37.0,52.0,94.91,2024_T1,New York District
6185-235,James Davis,Female,39.0,80.0,29.0,81.63,2024_T1,New York District
9951-799,Michael Davis,Male,32.0,51.0,88.0,61.84,2023_T2,New York District
2106-114,Mary Smith,Female,52.0,98.0,58.0,92.98,2023_T1,New York District
7520-618,James Smith,Female,40.0,67.0,67.0,89.21,2024_T1,New York District
7939-818,William Miller,Female,1.0,85.0,40.0,95.09,2023_T1,New York District
3501-384,William Moore,Male,54.0,15.0,92.0,99.56,2023_T2,New York District
4329-927,Mary Moore,Male,47.0,29.0,11.0,93.53,2024_T1,New York District
2083-417,Jennifer Miller,Female,63.0,49.0,84.0,83.31,2024_T1,New York District
5005-188,Patricia Smith,Female,68.0,47.0,19.0,80.86,2023_T1,New York District
1901-416,Linda Taylor,Male,43.0,32.0,72.0,68.81,2023_T1,New York District
1185-267,James Williams,Female,67.0,34.0,80.0,96.39,2023_T2,New York District
5247-270,William Moore,Female,95.0,64.0,7.0,62.59,2023_T1,New York District
1480-443,Robert Johnson,Female,46.0,39.0,75.0,80.7,2023_T2,New York District
5308-829,William Johnson,Male,45.0,46.0,14.0,96.43,2023_T2,New York District
6900-156,Linda Moore,Female,25.0,51.0,92.0,84.08,2024_T1,New York District
3577-361,John Davis,Male,20.0,50.0,37.0,66.82,2024_T1,New York District
9336-102,Mary Jones,Male,28.0,50.0,3.0,83.67,2023_T1,New York District
8729-472,Patricia Smith,Female,91.0,27.0,3.0,87.06,2023_T1,New York District
7870-329,John Smith,Female,44.0,66.0,85.0,75.38,2023_T1,New York District
5444-945,Michael Davis,Male,87.0,33.0,90.0,70.51,2024_T1,New York District
9225-789,Jennifer Johnson,Male,0.0,71.0,86.0,89.74,2023_T1,New York District
1752-510,Patricia Moore,Male,85.0,24.0,81.0,76.28,2023_T2,New York District
6362-188,Robert Brown,Female,11.0,5.0,89.0,74.47,2023_T1,New York District
5777-677,Jennifer Jones,Female,82.0,64.0,56.0,96.3,2024_T1,New York District
8600-477,Elizabeth Jones,Female,98.0,39.0,13.0,73.25,2023_T1,New York District
3466-106,William Jones,Female,83.0,55.0,48.0,84.43,2023_T1,New York District
6675-751,Patricia Moore,Male,48.0,45.0,61.0,80.66,2023_T2,New York District
6038-206,James Miller,Male,19.0,96.0,89.0,93.33,2024_T1,New York District
9061-161,Patricia Miller,Male,48.0,63.0,61.0,78.51,2024_T1,New York District
1719-337,Robert Johnson,Female,53.0,8.0,87.0,75.87,2024_T1,New York District
2391-694,Jennifer Wilson,Male,40.0,16.0,87.0,63.48,2024_T1,New York District
2226-706,John Miller,Male,58.0,38.0,54.0,81.26,2023_T2,New York District
5778-367,John Jones,Female,12.0,63.0,10.0,94.97,2023_T2,New York District
8417-378,Jennifer Davis,Male,10.0,76.0,45.0,61.79,2023_T1,New York District
2785-259,Patricia Williams,Male,39.0,18.0,75.0,66.61,2023_T1,New York District
6145-516,Linda Wilson,Male,60.0,11.0,60.0,95.29,2024_T1,New York District
8404-415,Jennifer Jones,Female,44.0,89.0,91.0,72.37,2023_T2,New York District
3582-926,Mary Johnson,Female,7.0,24.0,90.0,92.85,2024_T1,New York District
4522-955,Elizabeth Smith,Female,29.0,46.0,86.0,60.08,2023_T1,New York District
6828-505,Mary Jones,Male,83.0,81.0,17.0,61.62,2024_T1,New York District
3848-131,Robert Brown,Female,93.0,32.0,35.0,64.58,2023_T2,New York District
5093-196,William Moore,Female,18.0,27.0,39.0,74.76,2023_T1,New York District
1195-163,John Johnson,Male,96.0,75.0,14.0,90.05,2023_T1,New York District
7098-802,Patricia Miller,Male,1.0,62.0,28.0,89.99,2024_T1,New York District
2228-122,Elizabeth Brown,Male,65.0,50.0,74.0,87.15,2023_T1,New York District
2506-967,Linda Williams,Female,13.0,81.0,50.0,83.95,2023_T1,New York District
